date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:00:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:21%20GMT	http://boostroyal.fr/buy-smurf-account/	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/buy-smurf-account/index.html	(from https://boostroyal.fr/)
19:00:51	18040/18040	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Jun%202023%2018:00:21%20GMT	https://boostroyal.fr/legal/terms-of-use	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/legal/terms-of-use	(from https://boostroyal.fr/)
19:00:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:22%20GMT	http://boostroyal.fr/buy-lol-account/	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/buy-lol-account/index.html	(from https://boostroyal.fr/)
19:00:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:22%20GMT	http://boostroyal.fr/legal/dmca	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/legal/dmca	(from https://boostroyal.fr/)
19:00:52	18040/18040	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Jun%202023%2018:00:22%20GMT	https://boostroyal.fr/legal/dmca	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/legal/dmca	(from https://boostroyal.fr/)
19:00:52	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:22%20GMT	http://boostroyal.fr/partner-program	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/partner-program	(from https://boostroyal.fr/)
19:00:52	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:22%20GMT	http://boostroyal.fr/lol-boosting/	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/lol-boosting/index.html	(from https://boostroyal.fr/)
19:00:52	18040/18040	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Jun%202023%2018:00:22%20GMT	https://boostroyal.fr/partner-program	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/partner-program	(from https://boostroyal.fr/)
19:00:52	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:22%20GMT	http://boostroyal.fr/runtime.c57c7be811ade944.js	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/runtime.c57c7be811ade944.js	(from https://boostroyal.fr/)
19:00:52	4580/4580	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a11b06892790f271a302165ee38d356%22	https://boostroyal.fr/runtime.c57c7be811ade944.js	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/runtime.c57c7be811ade944.js	(from https://boostroyal.fr/)
19:00:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:23%20GMT	http://boostroyal.fr/polyfills.132fcb7818eadf3e.js	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/polyfills.132fcb7818eadf3e.js	(from https://boostroyal.fr/)
